ter_id,ter_name,ter_tms_id,ter_country,ter_code,ter_type,ter_mid_status_support,ter_im4,ter_im7,ter_pie,ter_mrn,ter_nt1,ter_ex,ter_co,ter_eu,ter_rt1,ter_rt2,ter_tt1,ter_tt2
1,Terminal 118 (Antwerpen),,BE,Terminal 118 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
2,Terminal 364 (Antwerpen),,BE,Terminal 364 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
3,Terminal 476 (Antwerpen),3,BE,Terminal 476 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
4,Terminal 869 (Antwerpen),3,BE,Terminal 869 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
5,Terminal 913 (Antwerpen),,BE,Terminal 913 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
6,Terminal 1333 (Antwerpen),,BE,Terminal 1333 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
7,Terminal 1700 (Antwerpen),4,BE,Terminal 1700 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
8,Terminal 1718-1742 (Antwerpen),3,BE,Terminal 1718-1742 (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
9,Overige containerterminals (Antwerpen),,BE,Overige containerterminals (Antwerpen),0,false,false,false,false,false,false,false,false,false,false,false,false,false
10,Overige containerterminals (Zeebrugge),,BE,Overige containerterminals (Zeebrugge),0,false,false,false,false,false,false,false,false,false,false,false,false,false
11,Overig (Niet nader genoemd),,BE,Overig (Niet nader genoemd),0,false,false,false,false,false,false,false,false,false,false,false,false,false
12,APM Terminals Maasvlakte II B.V.,1,NL,3199LC910,1,false,true,true,true,true,false,true,true,true,true,true,true,true
13,APM Terminals Rotterdam B.V.,1,NL,3199LA050,1,false,true,true,true,true,false,true,true,true,true,true,true,true
14,Barge Center Waalhaven B.V.,1,NL,3089KR062,1,true,true,false,false,true,true,false,false,false,false,false,false,false
15,Broekman Distripoort,1,NL,3197LR003,1,false,true,true,true,true,true,false,true,true,true,true,true,true
16,CCT Moerdijk,1,NL,4782PM035,1,true,true,false,true,false,true,false,true,true,true,true,true,true
17,Hutchison Ports ECT Delta,1,NL,3199LD875,1,false,true,true,true,true,true,false,true,true,true,true,true,true
18,Hutchison Ports ECT Euromax,1,NL,3199LD951,1,false,true,true,true,true,true,false,true,true,true,true,true,true
19,Kramer City Rotterdam,1,NL,3089KM025,1,false,true,false,false,true,true,false,false,false,false,false,false,false
20,KCL,1,NL,3199LB030,1,false,true,false,false,true,true,false,false,false,false,false,false,false
